S/N,Name,City,Address,Phone,Owner
32,CEMİLE FIRINCIOĞLULARI ECZANESİ,LEFKOŞA,"Şht. Gaz. Hasan Tahsin Cad. 81/C No: 9, China-Bazaar karşısı, Lemar (Molto) yolu, Ortaköy",(0392) 223 82 22,Ecz. Cemile Fırıncıoğluları
33,CEMRE ECZANESİ,LEFKOŞA,"Maramara Bölgesi 30. Sok. No: 1, Devpa Süpermarket arkası, Lefkoşa",(0392) 227 65 49,Ecz. Cemil Fahrioğlu
34,CEVHER ECZANESİ,LEFKOŞA,Mehmet Akif Cad. 101 /E Pascucci Café karşısı Dereboyu Lefkoşa,(0392) 227 72 51,Ecz. Cevher Cem
35,ÇINARLI ECZANESİ,LEFKOŞA,Güven Sok. 21 A Hamitköy (Ekin Adademir Yurtları arkası),(0392) 225 23 60,Ecz. Nezire Çınarlı
36,DAĞMAN ECZANESİ,LEFKOŞA,"Burhan Nalbantoğlu Devlet Hastanesi Yolu, Ortaköy Camii Sırası, Aliriza Efendi Cad. Vakıflar İşhanı, Gülşenoğulları Baklava Karşısı, Ortaköy, Lefkoşa",(0392) 330 10 22,Ecz. Gökcen Dağman
37,DAMLA KARDÜZ ECZANESİ,LEFKOŞA,"Atatürk Cad. Kolan British karşısı, Gönyeli, Lefkoşa",(0392) 223 45 65,Ecz.Damla Kardüz Özalkın
38,DENİZ ÇORBA ECZANESİ,LEFKOŞA,"Belediye Bulvarı 91/B, Miraje Restorant çaprazı, KIB-ET yanı, ŞAŞA karşısı Yenikent, Lefkoşa",(0392) 223 72 72,Ecz. Deniz Çorba
39,DEREBOYU ECZANESİ,LEFKOŞA,"Mehmet Akif Cad. Dış Kapı No: 51/2, Köşklüçiftlik, Lefkoşa",(0533) 839 14 14,Ecz. Elif Ebru Koyuncu
40,DERYA ECZANESİ,LEFKOŞA,Mehmet Akif Cad. 53/3 Dereboyu Lefkoşa,(0392) 227 61 98,Ecz. Derya Akbatur
41,DİDEM ÖZKAYALI ECZANESİ,LEFKOŞA,"2. Selim Caddesi, Mustafa Hacıali 20 Apartmanı No: 9, Köşklüçiftlik, Lefkoşa",(0392) 227 71 11,Ecz. Didem Özkayalı
42,DİLAY KILÇIK ECZANESİ,LEFKOŞA,"Şht. Cumhur Yüzlü Sokak, Hacıali Apt. Blok B No: 27, Ortaköy, Lefkoşa",(0533) 830 08 79,Ecz. Dilay Kılçık
43,DİLEK ECZANESİ,LEFKOŞA,Şht.Evcet Yusuf Cad. N0:37/A Kızılbaş Lefkoşa,(0392) 228 18 67,Ecz. Dilek Taçoy
44,DİMAY KAĞCAN ECZANESİ,LEFKOŞA,"9. Yavuz Konnolu sok. Ortaköy, Lefkoşa",(0392) 223 86 75,Ecz. Dimay Kağcan
45,EBRU BAŞAY ECZANESİ,LEFKOŞA,"Mehmet Akif Cad. No:78/3, Dereboyu, Lefkoşa",(0392) 227 02 42,Ecz. Ebru Başay
46,ECEGÜL ECZANESİ,LEFKOŞA,Şht.Kemal Ünal Cad. N0:118 /B Metropol Yolu Taşkınköy Lefkoşa,(0392) 225 58 47,Ecz. Nevil Saadetoğlu
47,ECEM ECZANESİ,LEFKOŞA,Bedrettin Demirel Cad.No: 127 Lefkoşa,(0392) 228 89 56,Ecz. Ece Ünsal Soyer
48,EDA ENVER ECZANESİ,LEFKOŞA,Şht.Arseven Sk.No:6 Devlet Hast.Karşısı Lefkoşa,(0392) 223 48 10,Ecz. Eda Enver Zaim
49,EMEL ATAÇAĞ ECZANESİ,LEFKOŞA,Atatürk Cad. Şakir Apt.7 Zemin Kat No:65 Gönyeli,(0392) 224 06 11,Ecz. Emel Ataçağ
50,EMİNE KESKİN ECZANESİ,LEFKOŞA,"Atatürk Cad. Yasemin Apt. Dük. No:1, Gönyeli İlkokulu karşısı, Meyhane Müzeyyen yanı, Lefkoşa",(0533) 879 81 93,Ecz. Emine Keskin
51,ENVER ECZANESİ,LEFKOŞA,74 Atatürk Meydanı Lefkoşa,(0392) 227 25 67,Ecz. Enver Emin Özbeşer
52,EREN ECZANESİ,LEFKOŞA,Şht.Kemal Ünal Cad. N0:53 Lefkoşa Metropol yolu Taşkınköy,(0392) 225 24 74,Ecz. Ceyda Neriman Eren
53,ERSAĞ ECZANESİ,LEFKOŞA,Fuar Yolu üzeri Elysium Düğün Salonu karşısı Piron Restorant yanı Lefkoşa,(0392) 223 62 17,Ecz. Hasan Özerk
54,ERTUNGA ECZANESİ,LEFKOŞA,"Marmara Bölgesi 4, Sokak No: 19, Eski Ayko Ayakkabı Fabrikası karşısıLefkoşa",(0533) 880 82 22,Ecz. Çağla Ertunga
55,FATMA AŞİNA ECZANESİ,LEFKOŞA,Aliriza Efendi Cad. Dük.4 No: 38/D Ortaköy Telsim Karşısı - Turcell Yanı Lefkoşa,(0533) 883 22 96,Ecz. Fatma Aşina
56,FATMA TAHSİN ECZANESİ,LEFKOŞA,Atatürk Cd 107 B Gönyeli Lefkoşa,(0392) 224 09 00,Ecz. Sevgi Karabekir
57,FATMA YÜRÜN ECZANESİ,LEFKOŞA,Bolu Sok. Dük. 74/C Küçük Kaymaklı Lefkoşa,(0392) 227 10 80,Ecz. Fatma Yürün
58,FERİN ECZANESİ,LEFKOŞA,"Cebeci Sok.N0:35 Arda Market yanı İş Bankası sırası Yenikent, Gönyeli",(0392) 223 42 82,Ecz. Dicle Tekiner
59,FİRUZ ERGİL ECZANESİ,LEFKOŞA,Yakındoğu Bulvarı 40/D Taşkınköy Lefkoşa,(0392) 223 19 02,Ecz. Firuz Ergil
60,FULDEN DONANGİL ECZANESİ,LEFKOŞA,Osman Paşa Cad. N0:29/B K.Çiftlik Lefkoşa- Mardo karşısı,(0392) 228 25 72,Ecz. Fulden Donangil
61,GALEN ECZANESİ,LEFKOŞA,Kemal Aşık Cad. 62/1 Otobüs Terminali karşısı Küçük Kaymaklı Lefkoşa,(0392) 227 26 03,Ecz. Bahire Turganer
62,GİZEM BEHLÜL ECZANESİ,LEFKOŞA,N0:29 Saykal Apt. Atatürk Cad. Deniz Shop karşısı Gönyeli,(0392) 223 45 75,Ecz. Gizem Behlül
63,GÖNÜL ECZANESİ,LEFKOŞA,Şht.Gaz.Hasan Tahsin Cad. Hacı Ali Apt. No:13 Kermiya Ortaköy,(0392) 227 84 61,Ecz. Gönül Akça
64,GÖNYELİ ECZANESİ,LEFKOŞA,"Ünveren Sok. Ahmet Dereli Apt. Dük. No:13, Concorde Tower Hotel karşısı, Mr. Pound yolu üzeri, Yenikent, Gönyeli",(0533) 856 64 44,Ecz. Kezban Doygunel
65,GÜLİSTAN ARICI ECZANESİ,LEFKOŞA,"Hasane Ilgaz 13/C, Pegasus Hava Yolları yanı, Köşlüçiftlik, Lefkoşa",(0533) 841 28 39,Ecz. Gülistan Arıcı
66,GÜLİZAR ÖZTEKNİK ECZANESİ,LEFKOŞA,"Şht. Mustafa Ruso Cad. Yusuf Galeria 2 Dük. 45/2, Eski Lemar karşısı, Ekor karşısı, Kücük Kaymaklı, Lefkoşa",(0392) 227 91 55,Ecz. Gülizar Özteknik
67,GÜLNUR ECZANESİ,LEFKOŞA,N0:48 /B Kemal Şemiler Cad. Kalın Yol üzeri Güvenir Göz Hastanesi yanı Köseoğlu market sırası Metehan Lefkoşa,(0392) 223 66 30,Ecz. Gülnur Çelık
68,GÜNEY ENGİNOL ECZANESİ,LEFKOŞA,"Yzb. Tekin Yurdabak Caddesi No: 25, Aroğlu karşısı, Ortaköy, Lefkoşa",(0392) 227 66 95,Ecz. Güney Enginol
69,HALKSEVER ECZANESİ,LEFKOŞA,Şht.Hüseyin Amca Cad. N0:97 Gönyeli,(0392) 223 10 50,Ecz. Enver Halksever
