S/N,Name,City,Address,Phone,Owner
136,YELİM ECZANESİ,LEFKOŞA,Gültekin Şengör SOK.AKÜÇ Apt.Kumsal Lefkoşa,(0392) 228 78 66,Ecz. Tahir Kıbcak
137,YENİKENT ECZANESİ,LEFKOŞA,Belediye Bulvarı Yenikent Gönyeli Zorlu Plaza karşısı,(0392) 223 93 78,Ecz. Düriye Musioğlu
138,YENİŞEHİR ECZANESİ,LEFKOŞA,"Hüseyin İrfan Sok. Cankan Apt. No:1 Dük. 4, Lefkoşa Türk Belediyesi arkası, Yenişehir, Lefkoşa",(0392) 227 23 63,Ecz. Ahenk Bilir
139,YEŞİM ECZANESİ,LEFKOŞA,"Şht. Kemal Ünal Cad. Eser Apt. B Blok, Metropol Süpermarket karşısı, Taşkınköy, Lefkoşa",(0392) 225 69 18,Ecz. Yeşim Fidanboylu
140,YONCA HATİPOĞLU ECZANESİ,LEFKOŞA,Ecvet Yusuf Cad. Miniloy Dük.No:2 Kızılbaş Lefkoşa,(0392) 228 06 06,Ecz. Yonca Hatipoğlu
141,YUSUF TANDOĞAN ECZANESİ (LEFKOŞA),LEFKOŞA,"Mehmet Akif Cad. HacıAli Apt., Gloria Jeans ara sokağı, Toros beyaz eşya yanı, Dereboyu, Lefkoşa",(0392) 227 23 50,Ecz. Gizem Karagözlü
142,ZEHRA ECZANESİ,LEFKOŞA,"Şht. Kemal Ünal Cad., No: 11, Metropol Süpermarket yolu, Mebel Elektronik yanı, Taşkınköy, Lefkoşa",(0392) 225 59 47,Ecz. Şerife Çağansoy
143,ACARKAN ECZANESİ,GİRNE,"Kordonboyu No: 38, Atatürk Heykeli, Girne",(0392) 816 00 08,Ecz. Erol Acarkan
144,ADAŞEHİR ECZANESİ,GİRNE,"Ecevit Caddesi, Yeni Belediye Binası yanı, Avrasya Gold Apartmanı, (Arçelik yanı, Yok Yoktur Market karşısı), Girne",(0392) 815 01 88,Uzm. Ecz. Fatma Yücelen
145,AHMET ÇAĞER ECZANESİ,GİRNE,Ankara Cad. N0:50/ 2 A Alsancak Girne,(0392) 821 34 34,Ecz. Ahmet Çağer
146,ALENBAY ECZANESİ,GİRNE,"Kurtuluş Cad. No: 53/1, Bellapais yolu, Ovis Coffees karşısı, Bomond Bar yanı Girne",(0533) 886 12 24,Ecz. Peral Bayramoğulları
147,ALEV FARUK ECZANESİ,GİRNE,"Şht. Sonay Özdayı Sok. No: 8, Boğazköy, Girne",(0392) 234 65 96,Ecz. Mustafa Faruk
148,ARDA ÇELİK ECZANESİ,GİRNE,Bellapais Yolu Zafer Cad. Bedel Plaza N0:4-5 Girne,(0392) 815 20 69,Ecz. Pervin Çelik
149,AŞAR ECZANESİ,GİRNE,"Mustafa Çağatay Cad. Yetkili İş Merkezi No:32, Mahkemeler yanı, Garanti Bankası karşısı, Girne",(0392) 815 70 75,Ecz. Aşar Ustaoğlu
150,AŞAR KARAOĞLANOĞLU ECZANESİ,GİRNE,"Karaoğlanoğlu cad. No:3 Storemax yanı, Girne",(0392) 822 38 85,Ecz. Duygu Ustaoğlu
151,ASRIN ÜMİT ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. Yayla New Castle Plaza No: 2, Deniz Kızı Hotel karşısı, Karaoğlanoğlu, Girne",(0533) 839 19 60,Ecz. Seyedeh Masha Hojjat Abi
152,AYDIN ECZANESİ,GİRNE,Karaoğlanoğlu Cad. Beyaz Plaza No:3 Alsancak Girne,(0392) 821 33 61,Ecz. Hatice Özalp
153,AYDIN LIFE ECZANESİ,GİRNE,Kurtuluş Cad. Minimal Plaza N0:6 Doğanköy (Bellapais yolu Uncle Sam's Cafe yanı),(0533) 888 56 66,Ecz. Nilhan Uzman
154,AYGÜL AYGIN ECZANESİ,GİRNE,Semih Sancar Cad. Nurel 21 Bee Tower Apt. Dük.No:2 Hürdeniz Market karşı Çaprazı,(0533) 830 00 49,Ecz. Aygül Aygın
155,AYLAND ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. NDI HED BLUE No: 2, Girne",(0533) 866 49 42,Ecz. Shideh Rozhani
156,AYŞEN ALTAN ECZANESİ,GİRNE,Mareşal Fevzi Çakmak Cad. N0:121/1 Lapta Girne,(0533) 858 52 08,Ecz. Ayşen Altan
157,BARIŞ ECZANESİ,GİRNE,Şht.İbrahim Nidai Cad. N0:55 Lapta,(0392) 821 84 10,Ecz. Ali Öner
158,BAŞAK ECZANESİ,GİRNE,Ziya Rızkı Cad. No:31 Ocak Klubü karşısı Barbaraslor Market yanı Girne,(0392) 815 36 20,Ecz. Erdoğan Başak
159,BEDEOĞLU ECZANESİ,GİRNE,Beşparmaklar Cad. N0:79 Dük.7 Çatalköy Girne,(0392) 824 47 94,Ecz. Evren Bedeoğlu
160,BUĞÇE ECZANESİ,GİRNE,"Templos Tower 2 Dük. Zeytinlik yolu, Nusmar Market yanı, Girne",(0392) 815 00 32,Ecz. Buğçe Yürüker
161,CENGİZ SOLMAZ ECZANESİ,GİRNE,"Naci Talat Cad. Zeki Keçeli Apt. No:1, Defacto ve Kığılı Mağazaları yanı, Girne",(0533) 844 03 72,Ecz. Cengiz Solmaz
162,DAMLA ÖNDER ECZANESİ,GİRNE,"Laden Sok. No: 2A, Çamlıbel, Girne",(0533) 877 80 00,Ecz. Damla Önder
163,DEFNE ECZANESİ,GİRNE,Atatürk Cad. No:20 Girne,(0392) 815 35 16,Ecz. Nilgün Hekimoğlu
164,DİLARA ÖZHAMİT ECZANESİ,GİRNE,"Mete Adanır Cad. Yukarı Girne No:1 1/A, Kozan Döviz Yanı, Girne",(0392) 815 11 88,Ecz. Dilara Özhamit
165,DÜNYA ECZANESİ,GİRNE,"Salih Miroğlu Cad. Ataker İş Hanı No:1, Nusmar sokağı - Şokmar, Zeytinlik yolu, Girne",(0392) 815 00 09,Ecz. Canan Çomunoğlu
166,EDA ATAÇAĞ ECZANESİ,GİRNE,Dr.Salih Miroğlu Cad. 45/2 Zeytinlik Yolu Şokmar Süper Market Karşısı Girne,(0548) 881 18 11,Ecz. Eda Ataçağ
167,EMİN ECZANESİ,GİRNE,Karaoğlanoğlu Cad. Hasem İşhanı No:1 Alsancak Girne,(0533) 870 19 46,Ecz. Şerife Eminağa
168,EMİNAĞA ECZANESİ,GİRNE,Ziya Rızkı Cad. No:10 Girne,(0392) 815 22 48,Ecz. Ahmet Yöney
169,ENVER POLİLİ ECZANESİ,GİRNE,"Şht. Kazım Ali Sokak No: 2, Değirmentaşı Mahallesi Ertuğ Kader Apt. No: 2 ,Yukarı Girne",(0533) 860 63 96,Ecz. Enver Polili
170,ERDOĞAN ÖZİKİZ ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. Dükkan No: 160/3, Starlux Sinema yanı, Girne",(0548) 870 84 42,Ecz. Ecem Tansoy
171,ESAT ÇELEBİ ECZANESİ,GİRNE,"Dr. Fazıl Küçük Cad. No: 47, Dikmen, Girne",(0392) 237 27 78,Ecz. Esat Çelebi
172,FATMA SARAÇ ECZANESİ,GİRNE,"20 Temmuz Sok. No: 2 Esentepe, Girne",(0392) 823 63 84,Ecz. Fatma Saraç
173,GİRNE ECZANESİ,GİRNE,Işil Sok. Bayramoğlu Apt.D/3 Girne,(0392) 815 14 47,Ecz. Güzin Çağdan
174,GÜNAY VARIŞ ECZANESİ,GİRNE,Uğur Mumcu Cad. Bekir Paşa İşMerkezi N0:1 Karakum,(0392) 815 25 85,Ecz. Günay Arsoy Varış
175,GÜNDAL ECZANESİ,GİRNE,Altınör Apt. A Blok Dük.2 Uğur Mumcu Bulvarı Girne Karakum ( Molto Süpermarket karşısı ),(0392) 816 05 43,Ecz. Ayşen Günsel Mehmetçik
176,GÜVEN ECZANESİ,GİRNE,Salih Miroğlu Cad. Ersoy 6 Apt. Yukarı Girne,(0392) 815 24 09,Ecz. Didem Güven
177,İBRAHİM BARDAK ECZANESİ,GİRNE,"Sakarya Sok. Yukarı Girne Ayşan Keskinel Apt. No:5A, Girne",(0533) 851 76 08,Ecz. İbrahim Bardak
178,İLGEN ECZANESİ,GİRNE,"Bedrettin Demirel Cad. Özyalçın 156 Apt. Yaprak Tantuni çaprazı, Suvari mağazası yanı, Girne",(0392) 815 81 18,Ecz. İlgen Görgüner
179,İPEK YÖNEY ECZANESİ,GİRNE,Karaoğlanoğlu Cad. Faraçoğlu İşhanı No: 320 Karaoğlanoğlu Girne,(0533) 862 76 56,Ecz. İpek Yöney
180,KANDİL ECZANESİ,GİRNE,Karaoğlanoğlu Cad. E 48 Chichen Planet karşısı GAÜ Işıkları yanı Karaoğlanoğlu,(0392) 822 38 42,Ecz. Kadriye Kandil
181,KARAOĞLANOĞLU ECZANESİ,GİRNE,"Karaoğlanoğlu Caddesi Özaltın Dükkanları No: 2, Girne (Zeytin yağı fabrikasını geçince solda, petshop yanı)",(0533) 875 39 93,Ecz. Mürüde Musioğlu
182,KARPUZOĞLU ECZANESİ,GİRNE,Uğur Mumcu Cad. Eren İş Hanı N0:1 Karakum Girne,(0392) 816 12 30,Ecz. İbrahim Karpuzoğlu
183,KÜÇÜK ECZANESİ,GİRNE,Canbulat Sok.No:5/C Girne,(0392) 815 36 26,Ecz. Yusuf Küçük
184,MARYAM ECZANESİ,GİRNE,"Ankara Cad. No: 1, Lotus Park Sitesi A Blok, Alsancak, Girne",(0533) 842 36 37,Ecz. Maryam Mohammed
185,MEHMET GAZİKÖYLÜ ECZANESİ,GİRNE,Uğur Mumcu Cad. Karakum Girne,(0392) 816 01 23,Ecz. Mehmet Gaziköylü
186,MEHMET KAMİLOĞLU ECZANESİ,GİRNE,"Mustafa Çağatay Cad. No: 41/C, Dr. Akçiçek Hastanesi yolu, Girne",(0533) 887 44 88,Ecz. Mehmet Kamiloğlu
187,MELİS UZUN ECZANESİ,GİRNE,"Işıl Sokak, Uzun Apt. No: 4, Kamiloğlu Hastanesi yanı, Girne",(0533) 862 11 72,Ecz. Melis Uzun
188,MELİZ 2 ECZANESİ,GİRNE,Beyoğlu Sok. No:11 Ordu Pazarı karşısı 4 C Girne,(0533) 862 28 82,Ecz. Melis Emek
189,MUCİZEM ECZANESİ,GİRNE,Naci Talat Cad. N0:26 A Bücürük yanı Ship İnn Otel karşısı Girne,(0548) 851 11 50,Ecz. Çağın Eseri
190,NAZIM VARIŞ ECZANESİ,GİRNE,Karaoğlanoğlu Cad. Yayla Mah. No:149 Alsancak Girne,(0392) 821 30 88,Ecz. Nazım Varış
191,NEJLA ERÇAL ECZANESİ,GİRNE,Üniversite Yolu Sok.N0:63//B Karaoğlanoğlu Girne Amerikan Üniversitesi yanı Girne,(0392) 822 32 02,Ecz. Nejla Erçal
192,NURÇAĞ ECZANESİ,GİRNE,"Şht. Dursun Özsaraç Sok. No: 6/2, Eski Passport restorant sokağı, Girne",(0392) 815 10 25,Ecz. Nurçağ Madi
193,ÖMRÜM AKI ECZANESİ,GİRNE,"İstiklal Cad. Dük. No:1, Esentepe, Girne",(0533) 882 32 39,Ecz. Ömrüm Akı
194,ÖMRÜM ECZANESİ,GİRNE,Karaoğlanoğlu Cad. No:256 Girne,(0392) 822 22 87,Ecz. Sergül Akı
195,ÖNAL AKTOLGA ECZANESİ,GİRNE,Karaoğlanoğlu Cad. N0:33 Girne,(0392) 822 41 42,Ecz. Önal Akotlga
196,ÖNCEL MAHMUTOĞLU ECZANESİ,GİRNE,Ecevit Cad. Fuzuli Sok.Öncel Çerkez Apt.Dük. 1 Girne,(0392) 815 08 50,Ecz. Öncel Mahmutoğlu
197,ORÇUN ÖZKASAP ECZANESİ,GİRNE,"Karaoğlanoğlu Caddesi Zeytinlik Kesimi Atilla Çankaya Apt. 92 B No: 4, Karaoğlanoğlu, Girne",(0533) 870 21 22,Ecz. Orçun Özkasap
198,ÖZENİR ECZANESİ,GİRNE,"Mareşal Fevzi Çakmak Cad. Kocatepe No: 69, Manolya hotel karşısı, Lapta, Girne",(0542) 876 06 60,Ecz. Emine Türk
199,ÖZGE ÖZÇINAR ECZANESİ,GİRNE,Mete Adanır Cad. Cyprus Pools Apt. N0:28 C Girne,(0392) 815 90 90,Ecz. Özge Özçınar
200,PINAR KEKLİK ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. 198/A, Teknogold yanı, Alsancak, Girne",(0533) 857 54 94,Ecz. Pınar Keklik
201,POSTACIOĞLU ECZANESİ,GİRNE,"Mustafa Çağatay Cad. Postacıoğlu Apt. 1, Girne",(0392) 815 11 00,Ecz. Dilek Postacıoğlu
202,RIZKI 2 ECZANESİ,GİRNE,Mülk Plaza No:11 Çatalköy Girne,(0392) 824 56 06,Ecz. Mediha Keleşoğlu
203,RIZKI ECZANESİ,GİRNE,NaciTalat Cad. N0:3 Foto Berkenat yanı Girne,(0392) 815 34 96,Ecz. Zehra Keleşoğlu
204,SALİM KARABEKİR ECZANESİ,GİRNE,"Karaoğlanoğlu Cad., Yayla Mahallesi No: 213/B, Sky Plaza Apt. Dükkan No: 2, Alsancak, Girne",(0533) 845 98 36,Ecz. Salim Karabekir
205,SELİN ESER ECZANESİ,GİRNE,Dr.Fazıl Küçük Cad. Yeni Liman Yolu High Life Tower No:23 B Girne,(0392) 815 06 66,Ecz. Selin Eser
206,SERTAÇ ECZANESİ,GİRNE,"Osman Örek Caddesi Öğretmen evi karşısı, Bektaş gıda pazarı ilerisi Hocanın Apt.3/B Girne",(0392) 815 90 67,Ecz. Kıvanç İlter
207,SETENAY BENGİSU ECZANESİ,GİRNE,Bellapais Trafik Işıkları Yolu Ardıç Yanı Doğanköy -Girne,(0392) 816 00 82,Ecz. Setenay Bengisu
208,SEVİN ÇAĞAY ECZANESİ,GİRNE,"Ecevit Cad. No: 67/B, Yeni Girne Belediyesi karşısı, Yok Yoktur Market yanı, Girne",(0392) 815 20 25,Ecz. Sevin Çağay
209,SHİMA ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. No: 62, Terkan Plaza No: 4, Oğuz Veli Ortaokulu Karşı Çaprazı, TAYF (Marshall) ve Magarına Bulli Restorant Sırası, Karaoğlanoğlu, Girne.",(0548) 822 02 72,Ecz. Shima Abdihagh Gezer
210,ŞİFALI ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. Yayla Mah. Dük. No: 5, Alsancak, Girne",(0533) 846 33 30,Ecz. Ayşe Türk
211,SOYERLER 1 ECZANESİ,GİRNE,Naci Talat Caddesi Şapka Cafe Yanı Aşağı Girne Atlantıc Avenue B Blok Dış Kapı No: 42/ C,(0533) 833 07 17,Ecz. Selçuk Soyer
212,SOYERLER ECZANESİ,GİRNE,"Karaoğlanoğlu Cad. Side Plaza No: 105, Dük. No: 2, İş Bankası yanı, Alsancak, Girne",(0533) 830 07 17,Ecz. Göksel Soyer
213,ŞULE YILDIZDOĞAN ECZANESİ,GİRNE,Salih Miroğlu Cad. Alier Plaza 22 /B Girne,(0392) 816 12 13,Ecz. Şule Yıldızdoğan
214,TÖREN 2 ECZANESİ,GİRNE,Vakıflar Çarşısı A Blok No:1 Girne,(0392) 815 17 90,Ecz. Ahmet Eminağa
215,TÖREN ECZANESİ,GİRNE,Ziya Rızkı Cad. Yusuf Ziya Apt. No:262/B Girne,(0392) 815 89 79,Ecz. Ayça Eminağa İpekdal
216,TÖRENSEL ECZANESİ,GİRNE,Beşparmaklar Cad.Mah Ayhan Plaza Dükkan No:3 Çatalköy,(0392) 824 57 13,Ecz. Doğan Başak
217,TURGAY PARALI ECZANESİ,GİRNE,"Semih Sancar Carrington 44 Apt., Sushico yanı - Rota Reklam bitişiği, Girne",(0533) 837 61 26,Ecz. Turgay Paralı
218,VURAL ECZANESİ,GİRNE,Dr.Fazil Küçük Cad. N0:35/2 Dikmen Girne Dikmen,(0392) 237 30 19,Ecz. Kemal Vural
219,YUSUF TANDOĞAN ECZANESİ (GİRNE),GİRNE,"Beşparmaklar Cad. Ufuktan 1 Apt. Dük. No: 4, Çatalköy, Girne",(0548) 865 34 34,Ecz. Asrem Karagözlü
220,ZEHRA KELEBEK ECZANESİ,GİRNE,Mareşal Fevzi Çakmak Cad. Demirege Apt. 169 A Lapta Girne,(0392) 821 38 88,Ecz. Zehra Kelebek
221,ZİYA SENCER ECZANESİ,GİRNE,"Mete Adanır Cad. No: 2, Magic Tower Apt. Sulu Çember karşısı, Girne",(0533) 826 51 91,Ecz. Ziya Sencer
222,ADA ECZANESİ,GAZİMAĞUSA,Salamis yolu Sakarya Dük. No:3 Mağusa,(0392) 365 31 30,Ecz. Eylem Körceğez
223,ARAS ÖNCÜ ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı No: 46, İlama Market karşısı, Çanakkale, Gazimağusa",(0392) 366 29 99,Ecz. Aras Öncü
224,ARKAN ADIŞANLI ECZANESİ,GAZİMAĞUSA,"Yalı Mah. Metran Plaza No: 2, Tatlısu, Gazimağusa",(0548) 853 15 53,Ecz. Arkan Adışanlı
225,ASLI EREN ECZANESİ,GAZİMAĞUSA,Ziya Gökalp Cad.Eski Belça Süpermarket Yolu Bitirim Ayakkabı yanı GaziMağusa,(0392) 366 47 47,Ecz. Aslı Eren
226,ASYA TEKBIYIK ECZANESİ,GAZİMAĞUSA,İsmet İnönü Bulvarı Hasipoğlu Residance B Blok N0:3 Şık Prenses yanı Çelikkaya Klinik Altı Gazimağusa,(0392) 365 13 38,Ecz. Asya Tekbıyık
227,AYBENK ECZANESİ,GAZİMAĞUSA,"Gülseren yolu Reflex Plaza 5, dükkan 4, Karakol bölgesi̇, Lancet laboratuvar, eski̇ Pınar market ve Puzzle travel yanı, Gazimağusa",(0533) 870 37 88,Ecz. Abdullah Aybenk
228,AYŞE EMİROĞLULARI ECZANESİ,GAZİMAĞUSA,Yenikent Bulvarı İstiklal Cad. N0:39 Yeniboğaziçi Mağusa,(0533) 841 98 13,Ecz. Hasibe Emiroğluları
229,AYŞE ÖZBEYCAN ECZANESİ,GAZİMAĞUSA,Topcu Bulvarı GaziMağusa Deniz Plaza ve Mr.Pound karşısı GaziMağusa,(0392) 365 68 38,Ecz. Ayşe Özbeycan
230,AYŞEM ÇİL ECZANESİ,GAZİMAĞUSA,"15 Ağustos Namık Kemal Bulvarı, Halken Tower Apt. No: 5, Güder Kasap yolu üzeri, Dr. Şerife Zorba Kliniği yanı, Gazimağusa",(0392) 366 20 26,Ecz. Ayşem Çil
231,BAHAR ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı No: 45, Ateş Kuruyemişleri yanı, Gazimağusa",(0392) 365 51 26,Ecz. Bahar Kilim
232,BARIŞER ECZANESİ,GAZİMAĞUSA,"Mustafa Kemal Bulvarı, Newlife Apt. No: 1, Yaşam Hastanesi yanı, Gazimağusa",(0392) 365 60 40,Ecz. Ali Barışer
233,BUĞÇE BAYRAM ECZANESİ,GAZİMAĞUSA,Döveç Apt. No:8 Mustafa Kemal Bulvarı Uluçam Yolu Mağusa,(0392) 365 25 25,Ecz. Buğçe Bayram
234,BURCU GÖKALP ECZANESİ,GAZİMAĞUSA,Kaliland Bölgesi Halil Hamza Yolu Ece Apt.Dük.3 GaziMağusa,(0392) 365 69 39,Ecz. Burcu Gökalp
235,ÇAĞKAN AKSOY ECZANESİ,GAZİMAĞUSA,N0:28 15 Ağustos Bulvarı Larnaka Yolu GaziMağusa,(0392) 366 95 55,Ecz. Çağkan Aksoy
236,ÇAĞLAN ECZANESİ,GAZİMAĞUSA,15 Ağustos Bulvarı N0:34 P.K: 194 Mağusa,(0392) 366 64 47,Ecz. Behiye Zorlu
237,CEREN ECZANESİ,GAZİMAĞUSA,Papatya Apt.No:2 Larnaka Yolu Anıt Çemberi yanı,(0392) 366 33 74,Ecz. Aliye Kürüm
238,ÇİSE SEZEREL ECZANESİ,GAZİMAĞUSA,Ziya Gökalp Cad. N0:34 Belça yolu Göçmen Petrol istasyonu karşısı Mağusa,(0392) 366 39 15,Ecz. Çise Sezerel
239,ÇİSEM ECZANESİ,GAZİMAĞUSA,Halil Hamza Yolu Kaliland Bölgesi Alasya park sitesi karşısı - Gazimağusa,(0392) 365 40 04,Ecz. Çisem Tacel
240,DEMET ECZANESİ,GAZİMAĞUSA,New Castle No:1 Bayraktar yolu Lemar Yanı Mağusa,(0392) 366 33 50,Ecz. Demet İlerici
241,ECE ECZANESİ,GAZİMAĞUSA,"Mustafa Kemal Bulvarı, Özel Yaşam Hastanesi yanı, Gazimağusa",(0392) 366 38 46,Ecz. Zakire Kaleli
242,EMİR ECZANESİ,GAZİMAĞUSA,Gülseren Yolu Şafak Pazarlama No:2/ A Karakol Bölgesi Mağusa,(0392) 365 54 54,Ecz. Emir Akşahoğlu
243,EREL ECZANESİ,GAZİMAĞUSA,Salamis yolu Salamis Hotel Karşısı,(0392) 864 93 85,Ecz. Nazife Sağlamer
244,ERGİN ECZANESİ,GAZİMAĞUSA,Mağusa Tıp Merkezi Hastanesi Acil Servis Karşısı Mağusa,(0392) 365 47 35,Ecz. Ergin İlktaç
245,ERTUĞ EMİN ECZANESİ,GAZİMAĞUSA,"Ismet İnönü Bulvarı Reflex Apt. No:104, Mardo ve Dağlı Sigorta yanı, Sakarya, Gazimağusa",(0392) 365 60 60,Ecz. Ertuğ Emin
246,FAYDALI ECZANESİ,GAZİMAĞUSA,Devlet Hastanesi Yolu Zabitler Petrol 100 m öncesi DAÜ Bankamatik yanı,(0392) 365 69 22,Ecz. Olcay Faydalı
247,GİZEM KARAHASAN ECZANESİ,GAZİMAĞUSA,"Yeni Hastane yolu, Karting yanı, Tuzla, Gazimağusa",(0392) 364 84 94,Ecz. Gizem Karahasan
248,GİZEMGÜL ECZANESİ,GAZİMAĞUSA,Yeniknet Mah.Kadife Sok Yeni Boğaziçi,(0392) 378 98 98,Ecz. Gizemgül Beşergil
249,GÖKCEN İLKTAÇ ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı No: 145, Güder Apt. No: 5, Birleşmiş Milletler karşısı, Gazimağusa",(0392) 365 68 20,Ecz. Parandis İlktaç
250,GÜLFİDAN ECZANESİ,GAZİMAĞUSA,Istiklal Cad. N0:195/2 Yeniboğaziçi,(0392) 378 94 14,Ecz. Gülfidan Köseoğlu
251,GÜLOĞLU ECZANESİ,GAZİMAĞUSA,"Mustafa Kemal Bulvarı Notherland Alasya Park sitesi, Eski Kaliland karşısı Dük. 4, Mağusa",(0392) 365 38 68,Ecz. Fisun Güloğlu Beşergil
252,GÜZER ECZANESİ,GAZİMAĞUSA,"City Mall AVM yanı (arka yol), Dersaneler yolu, Golden Car Wash çaprazı, Çanakkale, Gazimağusa",(0533) 874 03 74,Ecz. Bahar Güzer
253,HACER BALIKÇI ECZANESİ,GAZİMAĞUSA,Mustafa Kemal Bulvarı. Döveç Elite Life Apt.:3. Mağusa,(0392) 365 55 18,Ecz. Hacer Balıkçı
254,HAKAN ECZANESİ,GAZİMAĞUSA,Kocatepe Sok.N0:1 GaziMağusa,(0392) 366 27 13,Ecz. Nurten Göksan
255,HALİL HAMZALAR ECZANESİ,GAZİMAĞUSA,Halil Hamza Yolu Ece Apt. Dükkan3 Zizzi Pizza & Dünya Oto Galeri arası / Kaliland Bölgesi Gazimağusa,(0392) 365 55 94,Ecz. Halil Hamzalar
256,HALK ECZANESİ,GAZİMAĞUSA,"Namık Kemal Meydanı Kışla Yolu 2-D, Suriçi, Gazimağusa",(0392) 366 53 33,Ecz. Ayten Bayram
257,HALKIN ECZANESİ,GAZİMAĞUSA,"2. Uluçam Yolu Erbatu Apt. Evleri B Blok, Dük.1, Pakduş ve Çocuk Dünyası yolu, Noterland Primer Park karşısı, Sakarya, Gazimağusa",(0392) 365 01 12,Ecz. Esra Halkın
258,HANDE BESMEL ECZANESİ,GAZİMAĞUSA,Gülseren Yolu Cahit Sıtkı Tarancı Sokak Şafak Plaza No:10 Karakol Bölgesi Mağusa,(0392) 365 34 50,Ecz. Hande Besmel
259,HİÇKORKMAZ ECZANESİ,GAZİMAĞUSA,"Tünay İrfanoğlu sok. Northerland Premier, Dış Kapı No: 8, Sakarya, Gazimağusa",(0533) 832 24 03,Ecz. Laika Hiçkorkmaz
260,İÇTEN ECZANESİ,GAZİMAĞUSA,"Eşref Bitlis Cad. İsmet Erel Apt. Dukkan No: 1 (Tıp Merkezi Girişi), Gazimağusa",(0392) 365 22 00,Ecz. Hüsniye Öztoprak
261,İNEM MİMAR ECZANESİ,GAZİMAĞUSA,"Hasan Barbaçolli Sok. Uzun Apt. 11, Yeni Lemar akra yolu - Burçin Bestamil kuaför karşısı, Sakarya, Gazimağusa",(0548) 842 27 95,Ecz. İnem Mimar
262,KAĞAN KANDEMİR ECZANESİ,GAZİMAĞUSA,"Samanyolu Sokak Çanakkale Ayten 2 Apt. No: 3, Gazimağusa",(0533) 881 66 26,Ecz. Kağan Kandemir
263,KARAKOL ECZANESİ,GAZİMAĞUSA,Gülseren yolu Nilgün uzun Apt.N0:2 Karakol Mağusa,(0392) 365 65 19,Ecz. Sevtap Zeki
264,KUNTER GÜVEN ECZANESİ,GAZİMAĞUSA,"Karakız Sokak No: 2, Baykal Kunter Güven Hastanesi Karşısı, Gazimağusa",(0392) 366 19 09,Ecz. Ahmet Kunter
265,LARNAKA YOLU ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı Dük. 2, No:136/B, 2,5 mil yolu, Çanakkale, Gazimağusa",(0533) 860 59 65,Ecz. Sibel Kösedağ
266,MEHMET ARTER ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı Piyale Paşa Mah. İlhan Apt. No:1, Larnaka Yolu, Gazimağusa",(0392) 366 00 02,Ecz. Mehmet Arter
267,MEHMETALİ BEYAZ ECZANESİ,GAZİMAĞUSA,"Eşref Bitlis Cad., Topcu Bulvarı, Beyzade Apt., No: 3, Garanti Bankası Karşısı Polis Müdürlüğü önü Gazimağusa",(0392) 365 06 50,Ecz. Mehmetali Beyaz
268,MELİKE BARBAROS ECZANESİ,GAZİMAĞUSA,"Şht.İbrahim Hasan Cad.City Mall yolu üzeri (Tözün Kuru Temizleme'den, City Mall istikametine giderken solda,Akol İnş Şirketi yanı)",(0392) 365 42 40,Ecz. Melike Barbaros
269,MEVA ECZANESİ,GAZİMAĞUSA,"15A Ordu Sok. Açık Pazar Karşısı, Mağusa",(0548) 837 23 23,Ecz. Meva Arter
270,NASİM ECZANESİ,GAZİMAĞUSA,"Colins yanında, Ozkoç Plaza, Calıforıan Restorant karşısında, Salamis Yolu Mağusa",(0392) 365 03 40,Ecz. Faysal Zeki
271,NİLHAN SOYSAL ECZANESİ,GAZİMAĞUSA,"Silahlı Kuvvetler Cad. Pertur Apt. No: 29A, The Europen Hotel (Sema) - Adaş Bebe karşısı, Gazimağusa",(0392) 366 03 53,Ecz. Nilhan Soysal
272,ÖREN ECZANESİ,GAZİMAĞUSA,"Cengizhan yolu No: 91. Maraş bölgesi, Gazimağusa (Öztemur hırdavat ve Fidan marketin karşısı. Kombos meydanı)",(0392) 366 34 57,Ecz. Cem Ören
273,OSMANKAN ECZANESİ,GAZİMAĞUSA,Hüseyin Durmuş Sok. 50/ A Dük.No:2 Larnaka Yolu,(0392) 366 92 97,Ecz. Emre Osmankan
274,ÖZAY ECZANESİ,GAZİMAĞUSA,Altay Sok. Baykal Mağusa,(0392) 366 48 36,Ecz. Özay Atamözlü
275,ÖZÇAĞ ECZANESİ,GAZİMAĞUSA,411 İsmet İnönü Bulvarı Salamis Yolu,(0392) 365 08 76,Ecz. Nalan Kansu
276,ÖZGE KALE ECZANESİ,GAZİMAĞUSA,"Şht.İbrahim Hasan Sok, Dükkan 4 China-Bazaar yanı - Günay taksi sırası, Ayluga Gazimağusa",(0392) 366 88 66,Ecz. Özge Kale
